"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\liveManagement.ejs", "HTML", 0, -30, 0, 0, 0, 0, -30
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\liveShow.ejs", "HTML", 0, -52, 0, 0, 0, -2, -54
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\playlistShow.ejs", "HTML", 0, -42, 0, 0, 0, -4, -46
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\userManagement.ejs", "HTML", 0, -23, 0, 0, 0, 0, -23
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\auth\login.ejs", "HTML", 0, -27, 0, 0, -39, 0, -66
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\auth\new.ejs", "HTML", 0, -39, 0, 0, -29, 0, -68
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\edit.ejs", "HTML", 0, -73, 0, 0, 0, -1, -74
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\new.ejs", "HTML", 0, -90, 0, 0, 0, -3, -93
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\show.ejs", "HTML", 0, -7, 0, 0, 0, -1, -8
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\errors\error.ejs", "HTML", 0, -2, 0, 0, 0, 0, -2
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\errors\notFound.ejs", "HTML", 0, -2, 0, 0, 0, 0, -2
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\home\index.ejs", "HTML", 0, -20, 0, 0, 0, -2, -22
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\layouts\boilerplate.ejs", "HTML", 0, -28, 0, 0, 0, -1, -29
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\edit.ejs", "HTML", 0, -46, 0, 0, 0, -2, -48
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\index.ejs", "HTML", 0, -24, 0, 0, 0, -1, -25
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\new.ejs", "HTML", 0, -45, 0, 0, 0, -2, -47
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\show.ejs", "HTML", 0, -34, 0, 0, 0, -3, -37
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\show_admin.ejs", "HTML", 0, -58, 0, 0, 0, -4, -62
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\myPage\index.ejs", "HTML", 0, -74, 0, 0, 0, -5, -79
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\editBandForm\song.ejs", "HTML", 0, -39, 0, 0, 0, 0, -39
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\editBandForm\songs.ejs", "HTML", 0, -14, 0, 0, 0, -1, -15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\flash.ejs", "HTML", 0, -11, 0, 0, 0, -1, -12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\navbar.ejs", "HTML", 0, -37, 0, 0, 0, -1, -38
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\newBandForm\song.ejs", "HTML", 0, -39, 0, 0, 0, 0, -39
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\newBandForm\songs.ejs", "HTML", 0, -14, 0, 0, 0, -1, -15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\showBand\paTable.ejs", "HTML", 0, -44, 0, 0, 0, -1, -45
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\showBand\paTableSong.ejs", "HTML", 0, -66, 0, 0, 0, 0, -66
"Total", "-", -1837, -1070, -1939, -193, -1120, -291, -6450
